idx,claim_id,claim,excerpt,anchored,L_h_orig,S_h,I_h,L_o_orig,S_o,I_o,S_x,p_entail,p_contra,snippet
0,0,The text is a health information article about heart attack symptoms.,Health information article structure: medical content about heart attack symptoms,True,0.22109698,0.040214613,-0.0065490454,0.013663151301443577,0.000681435689330101,-0.003187517635524273,0.25414675,0.3539619,0.09981517,first
0,1,The text explains the definition of ischemia.,establishes a pattern explaining the definition of ischemia,True,0.22109698,0.014047891,0.0067235827,0.013663151301443577,0.006984679959714413,0.009667784906923771,0.60338193,0.7862678,0.1828859,middle
0,2,"The final token is the word ""happening"", which ends a subordinate clause.","Final token ""happening"" ends a subordinate clause",True,0.22109698,0.05962117,0.04285957,0.013663151301443577,0.0033378945663571358,0.007323513738811016,0.968032,0.98268616,0.014654147,last
0,3,The text uses plain-language guides.,using plain-language guides,True,0.22109698,0.0020414442,0.0016079247,0.013663151301443577,1.3209879398345947e-05,0.0013602757826447487,-0.053877458,0.1808617,0.23473915,first
1,0,The text is a Chinese journal paper about ferritic low alloy steel weld microstructure.,Chinese journal paper format with technical testing analysis about ferritic low alloy steel weld microstructure,True,0.11985582,0.110621214,0.016671926,0.05095423758029938,-0.01911766454577446,-0.013859502971172333,-0.0029932542,0.0007438213,0.0037370755,first
1,1,The text presents experimental results of a TiB2 refractory coating.,presenting experimental results of TiB2 refractory coating,True,0.11985582,0.0004324019,-0.0015117973,0.05095423758029938,-0.004180584102869034,-0.010958153754472733,-0.9935484,9.184184e-05,0.99364024,first
1,2,The text describes heat treatment time or temperature variation during sintering.,a specific technical condition about heat treatment time or temperature variation during sintering,True,0.11985582,0.010645568,0.006943777,0.05095423758029938,0.025137051939964294,-0.0022730380296707153,-0.16902755,0.22681348,0.39584103,middle
1,3,"The final token is the word ""holding"", in the middle of a technical term.","Final token ""holding"" is mid-term (""the duration of holding"")",True,0.11985582,0.50645256,0.10262981,0.05095423758029938,1.9105644077062607,0.12052977085113525,0.93631196,0.96049887,0.024186924,last
2,0,The text is the framing of an artistic or educational event campaign.,Artistic/educational event campaign framing with poetic prose and exhibition format,True,0.17436263,0.02785188,0.024934068,0.21691501140594482,0.05278065800666809,0.042695432901382446,0.97302985,0.983071,0.010041203,first
2,1,"The text explores embodied voices, resistance, and healing during the pandemic.","exploring embodied voices, resistance, and healing during pandemic",True,0.17436263,0.015254095,0.00075247884,0.21691501140594482,0.038097381591796875,-0.01165461540222168,-0.9974341,0.0002874031,0.9977215,first
2,2,The text is in the middle of listing a series of philosophical questions.,is mid-listing a series of philosophical questions about collective activist anxiety concepts,True,0.17436263,0.0061127692,0.00014516711,0.21691501140594482,-0.07328024506568909,-0.04649937152862549,0.4955806,0.73572046,0.24013984,middle
2,3,"The final token is ""does"", ending mid-clause in ""What does"".","Final token ""does"" ends mid-clause ""What does""",True,0.17436263,0.43708912,0.30323356,0.21691501140594482,1.5498104095458984,1.3415108919143677,0.9473062,0.97066396,0.023357768,last
3,0,The text is in a mathematical physics wiki format with informal explanatory prose.,Mathematicalphysics wiki format with informal explanatory prose mixing definitions and formulas,True,0.20914748,0.056943297,0.025431648,0.34763526916503906,0.2224358320236206,0.10498008131980896,0.00063650124,0.0069741174,0.006337616,first
3,1,The text shows a sequence of quoted approximations for π.,showing a sequence of quoted approximations for π and Thenus function,True,0.20914748,0.03135635,0.010397181,0.34763526916503906,0.14806723594665527,0.015218734741210938,-0.0040028123,0.0042377254,0.008240538,first
3,2,The quoted expression presents a numerical value.,presents a numerical value with a logarithmic or period figure,True,0.20914748,-0.0044737607,0.0012139976,0.34763526916503906,-0.005121886730194092,-0.038099318742752075,0.9948545,0.99705696,0.0022024568,middle
3,3,"The final token is ""18"", in the middle of a number.","Final token ""18"" is mid-number in an incomplete numerical expression (""2.66599589818"")",True,0.20914748,0.5214157,0.24283823,0.34763526916503906,0.2051461935043335,0.19920474290847778,0.7569954,0.8690831,0.11208774,last
4,0,The text is a product description of an educational textbook.,Product description format with educational textbook resource title and format details,True,0.09833538,0.00857196,0.020167671,0.00718524819239974,-0.003246456850320101,-0.0023189727216959,0.41012806,0.6361115,0.22598346,first
4,1,The text lists features of math programs for middle school learners.,listing features of FC这几天 math programs for middle school learners,True,0.09833538,0.0036500022,0.016133778,0.00718524819239974,-0.0007657469250261784,-0.0015839007683098316,-0.8631299,0.0028104577,0.8659404,first
4,2,The phrase implies that additional attributes or features follow.,implying additional attributes or features follow,True,0.09833538,0.00459072,0.0045700967,0.00718524819239974,0.00038038473576307297,0.0006517176516354084,0.916696,0.9524918,0.035795834,middle
4,3,"The final token is ""Variety"", beginning a second bullet-point item.","Final token ""Variety"" begins a second bullet point item mid-phrase ("" Variety"")",True,0.09833538,1.0173157,0.9625424,0.00718524819239974,3.9864341937936842,14.238859864417464,0.56815505,0.7714826,0.20332754,last
5,0,The text is a medical journal abstract of an epidemiological study.,Medical journal abstract format with academic epidemiological study structure,True,0.31093174,0.045849144,0.013484776,0.004711986985057592,0.0037489295937120914,0.0014338279142975807,0.012742946,0.01785989,0.0051169437,first
5,1,The study presents findings on dietary fat and heart failure risk.,presenting findings on dietary fat and heart failure risk,True,0.31093174,-0.005564004,-0.002862662,0.004711986985057592,-0.001183012267574668,-0.0017945545259863138,-0.9969767,0.00025750065,0.99723417,first
5,2,The sentence continues listing findings in a parallel numerical comparison.,"mirrors a parallel numerical comparison, continuing listing findings",True,0.31093174,0.029166222,0.01938793,0.004711986985057592,0.001118700485676527,0.00045226840302348137,0.6462189,0.69553214,0.04931325,middle
5,3,"The final token is ""risk"", closing the second paired risk finding.","Final token ""risk"" closes the second paired risk finding",True,0.31093174,0.15386474,0.18927193,0.004711986985057592,0.006623581517487764,0.003811654169112444,0.9225899,0.94828385,0.025693947,last
6,0,The text is a home appliance article with numbered tips about toilet drain problems.,Philippino home appliance article format with numbered tips explaining toilet drain problems,True,0.20114787,0.091078594,0.03828974,0.05226368457078934,-0.0283188633620739,-0.004724040627479553,-0.99730754,0.00021063673,0.9975182,first
6,1,The text details bathroom toilet issues via visual explanations.,"detailing ""bathroom toilet issues"" via visual explanations",True,0.20114787,0.0017701834,0.0031996816,0.05226368457078934,0.0007710382342338562,0.005836263298988342,-0.97638756,0.00026845172,0.976656,first
6,2,The sentence suggests a causal explanation about the gear mechanism jamming.,suggests a causal explanation continuing about the gear mechanism's jamming or stuck state,True,0.20114787,0.010779381,0.011232778,0.05226368457078934,-0.023042455315589905,-0.01202903687953949,0.9156731,0.9373546,0.02168152,middle
6,3,"The final token is "" prevents"", ending mid-clause.","Final token "" prevents"" ends mid-clause (""if the switch's center part prevents"")",True,0.20114787,0.7090778,0.14237814,0.05226368457078934,3.81795721501112,0.014215610921382904,0.4891813,0.5472258,0.058044452,last
7,0,The text is a health blog article with numbered sections about CBD for anxiety disorders.,"health blog format with numbered sections detailing CBD's symptoms, dosage, and benefits for anxiety disorders",True,0.20285468,0.040486485,0.071511075,0.0038867578841745853,0.002032660413533449,0.003181824926286936,0.19052711,0.24258058,0.052053466,first
7,1,The text is now providing a table comparing CBD symptoms and treatment.,now providing a table comparing CBD symptoms and treatment,True,0.20285468,-0.0022834837,0.0031092167,0.0038867578841745853,0.02580169728025794,0.003617342561483383,0.01376589,0.06469297,0.050927076,first
7,2,The paragraph directly answers the question about using the disorder tracker to determine CBD's effectiveness.,now directly answering the question about using the disorder tracker to determine CBD's effectiveness,True,0.20285468,-0.0020579249,0.0005172044,0.0038867578841745853,0.003382887691259384,0.005683820229023695,-0.30493993,0.029621616,0.33456153,middle
7,3,"The final token is ""treat"", closing a repeated question clause.","Final token ""treat"" closes a repeated question clause (""To determine what can be used to treat"")",True,0.20285468,0.5578983,0.22923143,0.0038867578841745853,0.024870628025382757,0.00942780775949359,0.9716204,0.9843866,0.012766236,last
8,0,The text has the structure of a Ukrainian academic article.,Ukrainian academic article structure,True,0.19741897,0.00040139258,0.00049103796,0.020123228430747986,0.0002673659473657608,0.00019190087914466858,0.5543896,0.5697058,0.015316171,first
8,1,The text presents formal content about corporate liquidity management.,presenting formal content about corporate liquidity management,True,0.19741897,-8.7976456e-05,0.005155638,0.020123228430747986,0.0005360245704650879,-0.0003916788846254349,-0.98194927,0.007206452,0.9891557,first
8,2,The quoted sentence introduces the topic of a scientific study.,establishes a pattern introducing a scientific study's topic,True,0.19741897,0.006947428,0.009903476,0.020123228430747986,0.003075897693634033,0.0059250351041555405,0.9805392,0.98790723,0.0073680375,middle
8,3,"The final token ""organizations"" closes a noun phrase.","Final token ""organizations"" closes a noun phrase",True,0.19741897,-0.00052657723,0.05760242,0.020123228430747986,-0.0003561992198228836,0.0012001637369394302,0.9850573,0.99168724,0.006629937,last
9,0,The text is formatted like an educational platform UI with numbered questions and answer options.,Formal educational platform UI format with numbered questions and answer options,True,0.30895117,0.0033014417,0.0053186715,15.57354736328125,0.36504173278808594,2.0707530975341797,0.20558065,0.28983477,0.08425411,first
9,1,The questions are structured around a math problem.,structured around a math problem,True,0.30895117,0.008877665,-0.0048502088,15.57354736328125,0.10894107818603516,-1.6130380630493164,-0.0008282156,0.00034089605,0.0011691117,first
9,2,The quoted phrase follows a template typical of Quora-style or StackExchange UI elements.,follows a template pattern typical of Quora-style or StackExchange UI elements,True,0.30895117,0.00018876791,0.088015765,15.57354736328125,-1.1895322799682617,-0.21762466430664062,0.46386048,0.52941674,0.065556265,middle
9,3,"The final token ""answer"" ends in the middle of a phrase.","Final token ""answer"" ends mid-phrase",True,0.30895117,-0.000423491,0.05494976,15.57354736328125,-0.12341690063476562,4.32000732421875,0.72541595,0.8553209,0.12990491,last
10,0,The original post is a speculative anime discussion about body metabolism mechanics.,Original post is a speculative anime discussion about Body Metabolism mechanics,True,0.2660014,0.072847396,0.02975604,0.1874437779188156,0.003953173756599426,0.009408414363861084,0.76885307,0.85055846,0.08170537,first
10,1,The text has a casual tone.,formatting with casual tone,True,0.2660014,0.001144737,0.003064245,0.1874437779188156,0.007381126284599304,0.0024206340312957764,0.009343214,0.012632053,0.0032888385,first
10,2,The sentence builds toward the conclusion that the creature's appetite lets it survive starvation.,builds toward a conclusion implying the creature's incredible appetite allows excess calorie survival over starvation conditions,True,0.2660014,0.0073622167,0.003811866,0.1874437779188156,0.05863213539123535,-0.023546651005744934,0.9810207,0.9845856,0.0035648684,middle
10,3,"The final token ""actually"" ends an incomplete clause.","Final token ""actually"" ends an incomplete clause",True,0.2660014,0.0021445751,0.0090329945,0.1874437779188156,0.00703883171081543,-0.007237821817398071,0.9625271,0.9785937,0.016066585,last
11,0,The text is a structured home improvement article.,Structured home improvement article format,True,0.13136117,0.10067169,0.042370662,0.13232828676700592,0.28834088146686554,0.12179209291934967,0.8958486,0.93469256,0.038844,first
11,1,The article establishes a product's benefits for attic insulation.,establishing a product's benefits for attic insulation,True,0.13136117,0.014943451,0.0073751956,0.13232828676700592,-0.020131371915340424,0.007255494594573975,0.087988704,0.16165912,0.07367042,first
11,2,The explanation continues with how vents prevent heat build-up and moisture accumulation.,continuing the explanation of how vents prevent heat build-up and moisture accumulation,True,0.13136117,0.006185904,0.0054653287,0.13232828676700592,0.011897280812263489,0.09720650315284729,0.012458015,0.013627449,0.0011694338,middle
11,3,"The final token ""temperature"" ends in the middle of a clause.","Final token ""temperature"" ends mid-clause",True,0.13136117,-0.0009332001,0.008843422,0.13232828676700592,-0.0008140653371810913,-0.015927627682685852,0.95102745,0.9744184,0.023390936,last
12,0,The post is a Pakistani Muslim boy's social media post in Urdu or Hindi.,Pakistani Muslim boy's Urdu/Hindi social media post,True,0.1765917,0.08653793,0.023688033,0.05508536100387573,0.3685893714427948,0.08547292649745941,0.0019514002,0.017786477,0.015835077,first
12,1,The post describes Ramadan fasting.,is describing Ramadan fasting,True,0.1765917,-0.0023411512,-0.0003875643,0.05508536100387573,0.007688075304031372,-0.0021712779998779297,0.0019674834,0.0057920744,0.003824591,first
12,2,"The phrase ""Allah says"" signals that the next clause will contain Quranic verses or a message about the human condition.","with ""Allah says"" signaling the next clause will contain Quranic verses or message about human condition",True,0.1765917,0.007673368,0.0064261854,0.05508536100387573,-0.0003048330545425415,0.025764256715774536,0.16120026,0.19338414,0.03218388,middle
12,3,"The final token ""says"" ends a direct quote clause.","Final token ""says"" ends a direct quote clause",True,0.1765917,0.0043005645,0.0053387433,0.05508536100387573,0.0013319402933120728,0.008652590215206146,0.95637953,0.97554886,0.019169353,last
13,0,The text is Greek technical support about email SMTP connection issues.,Greek technical support format with instructions about email SMTP connection issues,True,0.20184505,0.0078531355,0.05027184,0.06773408502340317,0.024001620709896088,0.03703703731298447,-0.99919736,8.231004e-05,0.9992797,first
13,1,The troubleshooting context concerns an Exchange or Outlook connector.,using troubleshooting context around Exchange or Outlook connector,True,0.20184505,0.0020870417,0.009038702,0.06773408502340317,-0.005332533270120621,-0.0007255077362060547,-0.994493,0.00070400804,0.995197,first
13,2,The quoted sentence implies a question about the reason for the cannot-reach-destination error.,implies a question about the reason for the cannot reach destination error,True,0.20184505,0.0048256367,0.009279475,0.06773408502340317,0.00769912451505661,0.0187007337808609,0.9955557,0.99747187,0.0019161945,middle
13,3,"The final token ""you"" is in the middle of a clause.","Final token ""you"" is mid-clause",True,0.20184505,-0.0012780875,0.0012375563,0.06773408502340317,-0.007078837603330612,-0.014325439929962158,0.9032129,0.94660884,0.043395963,last
14,0,The text is a travel/airport search format with a structured list of city airports and closest destinations.,Travel/airport search format with structured list of city airports and closest destinations,True,0.34961054,-0.014966428,0.014867127,0.018514858558773994,-0.011078345589339733,-0.008690115064382553,-0.044074357,0.46099442,0.5050688,first
14,1,"The phrase ""Nearest airport: Name of airport, capital city"" mirrors the question pattern twice.",mirrors the question pattern twice,True,0.34961054,0.005644083,0.0011434555,0.018514858558773994,0.009836208075284958,0.01805383898317814,0.93455374,0.9642607,0.029706955,middle
14,2,A second nearest-airport question about the London destination city is strongly implied.,"strongly implying a second ""Nearest airport"" question about the London destination city",True,0.34961054,0.02952072,0.015367389,0.018514858558773994,0.0049812402576208115,-0.003958785906434059,0.0032119164,0.007870455,0.004658539,middle
14,3,"The final token ""nearest"" repeats the phrase structure.","Final token ""nearest"" repeats the phrase structure",True,0.34961054,-0.0014441013,0.231864,0.018514858558773994,0.0019602738320827484,0.020339859649538994,0.97968054,0.9884869,0.008806343,last
15,0,A holistic health expert named Dr. Haller is presenting practical concepts.,Holistic health/medical expert Dr. Haller presenting practical concepts,True,0.28180194,0.018910885,0.014987022,0.25723761320114136,0.01786866784095764,0.011528164148330688,0.0011209918,0.003900148,0.0027791562,first
15,1,The text builds toward a dramatic revelation about heart disease and conventional testing failures.,building toward a dramatic revelation about heart disease and conventional testing failures,True,0.28180194,-0.0032700896,-0.009841144,0.25723761320114136,0.07723930478096008,0.10810506343841553,-0.0010744317,0.0029289003,0.004003332,first
15,2,The quoted sentence establishes a counterpoint claim about chronic ill health without lab abnormalities.,establishes a counterpoint claim about chronic health without lab abnormalities,True,0.28180194,0.020053536,0.0037949085,0.25723761320114136,0.3330901861190796,0.25399839878082275,0.9580005,0.97644335,0.018442882,middle
15,3,"The final token ""have"" is in the middle of a clause.","Final token ""have"" is mid-clause",True,0.28180194,0.0021173358,0.025823087,0.25723761320114136,-0.007096350193023682,-0.03288137912750244,0.9402774,0.9654339,0.025156513,last
16,0,The text is in a Bangla language-learner format with bullet points.,Bangla language learner format with bullet points,True,0.34612,0.013338834,0.0036387146,0.07663815468549728,-0.008411116898059845,-0.012723997235298157,-0.9860829,0.0046374956,0.9907204,first
16,1,The structure suggests a repeating section pattern with a heading and content about Quran study rules.,structure suggesting a repeating section pattern with heading and content about Quran study rules,True,0.34612,0.005425781,0.007885814,0.07663815468549728,-0.0035848990082740784,0.0017022565007209778,-0.39500773,0.09936471,0.49437246,first
16,2,The quoted phrase mirrors the title and implies a summary or bullet-list completion.,mirrors the title and implies a summary or bullet list completion,True,0.34612,0.0011759102,-0.008683026,0.07663815468549728,-0.012141592800617218,-0.031552452594041824,0.9749645,0.9861135,0.011148998,middle
16,3,"The final token ""communication"" ends the third item of a list.","Final token ""communication"" ends the third item",True,0.34612,0.0040926635,0.017841786,0.07663815468549728,0.011748872697353363,0.016624927520751953,0.7945135,0.88263464,0.08812111,last
17,0,The text is a public-health article from a Christian nonprofit about global water access challenges.,Christian nonprofit article highlights global water access challenges,True,0.24603692,0.0024753362,0.007106811,0.44909802079200745,0.018794864416122437,-0.024175703525543213,0.0050978386,0.0060505043,0.00095266564,first
17,1,The article supports water and sanitation efforts with facts and statistics.,with facts and statistics supporting water and sanitation efforts,True,0.24603692,0.0062639117,0.010284603,0.44909802079200745,0.02544674277305603,0.010582447052001953,0.99258804,0.99345076,0.0008627385,first
17,2,The quoted sentence establishes a list pattern giving statistics about the burden of water collection.,establishes a list pattern giving statistics about the burden of water collection,True,0.24603692,0.0037691742,0.00011609495,0.44909802079200745,-0.010801196098327637,-0.0016829371452331543,0.96124804,0.9794702,0.01822213,middle
17,3,"The final token ""water. "" closes a clause in the middle of a sentence.","Final token ""water. "" closes a clause mid-sentence",True,0.24603692,0.009229481,0.0068101883,0.44909802079200745,0.07726767659187317,0.0018993020057678223,0.95992786,0.97767794,0.017750103,last
18,0,The text is a product description promoting pet toy balls for Christmas.,marketing copy promoting pet toy balls for Christmas,True,0.18520938,0.0031144172,-0.00872916,0.019873924553394318,0.002258438616991043,0.0027492940425872803,-0.99853206,0.00027454022,0.9988066,first
