adapter,thinking,idx,explanation,n_tokens,truncated,mse_nrm,L_h,cos
iter_000300,off,0,"Web-scraped industrial product listing montage, covering crushing/milling equipment across multiple global companies and regions, with heavy keyword repetition (crusher, stone, grinder, sand).

The text has progressed into specific Indian manufacturer details for Bansal crushers, listing model names (cw6, cw12) and product names (roller crusher, jaw crusher series), establishing a pattern of equipment specs and price references.

Final token: ""for"" ends an incomplete phrase ""price list for"" — immediately requires a product/category noun, likely a crusher model, machine component, or exporting/delivery-related phrase, continuing the scraps/almost-searched-items section. ""almost searched item' Bansal stone crusher ... through export company!! ... Experience. Bansal crushers price. price list for""

Final token demands specific product name or crusher type.",178,False,0.08174087,0.17706844,0.95913
iter_000300,off,1,"Biographical obituary notice following military regimental history, now detailing Major General Howard's career chronologically with dated appointments and ranks.

The structured military career timeline with promotions, transfers, and postings (Captain 1885, Ireland, South Africa, ordering-officer roles) establishes strong continuation momentum, expecting further rank/service milestones.

""Promoted"" is the opening word of an incomplete sentence mid-career progression (""Having joined the regiment in 1879 and Commissioned in the King's Own Scottish Borders, Howard served in Ireland and South Africa where he was awarded the D.S.O. Promoted""), immediately requiring a rank and/or year, followed by further postings or appointments, likely ""to Major"" or ""to Lieutenant Colonel.""
""British Army. Promoted"" continues the pattern.",175,False,0.06479385,0.14035751,0.96760356
iter_000300,off,2,"Biographical profile structure for an animal/environmental activist — UK charity staff bio format with accomplishments listed in themed paragraphs covering diving, expeditions, education, and skills.

The text has systematically covered diving certifications, volunteer work, charity roles, education projects, karate, and future accommodation goals, establishing a complete profile. ""Harriet has"" now signals another paragraph covering additional activities, impact, or public-facing roles such as advocacy, writing, or media appearances.

""Harriet has"" is an opening clause of a final section, continuing the repeated sentence pattern seen throughout (""Harriet has enjoyed,"" ""Harriet is passionate about""); next tokens must complete this predicate, likely referencing communication, work experience, or travel presentation — fitting as a culminating summary of her adventurous credentials.
""Harriet has""",173,False,0.056732107,0.122894034,0.9716341
iter_000300,off,3,"Bibliographic/citation list pattern: academic titles listed sequentially, each on a new line, suggesting continuation of this format.

Research publication titles in ecology/environmental science domain: previous entries cover lake temperature scaling and forest management, establishing scientific subject matter continuity.

Final token ""of"" is a preposition mid-title (""Latitudinal and longitudinal effects on citation rates of""), requiring a noun phrase completing the object — almost certainly ""journal articles,"" ""local/regional research, or scientific literature from a specific geographic region.
""Geographic bias in civic ecology,"" or similar socio-scientific topic.
""Geographic bias in authorship and citation patterns"" follows. ""Geographic origin effects on citation rates of"" demands a specific noun, likely an ecologically-related publication genre or species/taxonomy literature from developing nations.",178,False,0.06651667,0.14408952,0.96674186
iter_000300,off,4,"Journalistic/community event coverage tone established; factual, celebratory descriptions of a local festival building toward organizational context.

The passage is building a narrative about the Indian Students Association, their small scale (""started out just five years ago with a handful of people""), and their cultural event — momentum toward describing their mission and efforts for this annual Holi Festival benefit.

""The annual"" opens a noun phrase requiring completion, almost certainly referencing the ""Holi Festival"" or an annual event series, or a statistical/milestone claim continuing the sentence about the organization's accomplishments.
""Despite its politically tense atmosphere in their native regions, the movement's main goal is to spread peace and unity. The annual""
—""The annual"" begins a compound sentence, most likely introducing this specific Washington Holi Festival or a planned recurring event, connecting it to the yearly nonprofit mission.",182,False,0.095622815,0.20713973,0.9521889
iter_000300,off,5,"Technical environmental report documenting stormwater improvement outcomes in Australia, using precise data and formal engineering/epidemiology register.

The narrative arc moves from problem (intermittent high grab samples, pre-screen median 479 cells/L) to solution (Posted screen device), culminating in quantitative before/after comparison — a specific reduction figure is promised.

Final fragment ""reduced from a pre-screen implementation median concentration of 392 MPN per litre, to"" is an incomplete comparative construction demanding an immediate lower post-screen median number, likely formatted similarly (e.g., ""X MPN per litre"").
""Field trials at Parafield... have shown significant reductions, with Total Coliform concentrations reduced from a pre-screen median concentration of 392 MPN per litre, to""",172,False,0.07142973,0.15473227,0.9642852
iter_000300,off,6,"Scientific abstract structure: paper presents GRB afterglow modeling findings, requiring technical conclusions about shock physics and jet emission contributions.

Parallel numerical comparison momentum: two light curve models introduced, now contrasting relative contributions of reverse (inner) vs forward (outer) shock to afterglow emission, supporting ""bumpy"" jet/clump composition argument.

Final fragment ""the contribution of the X-ray emitting clumps to the optical after"" is mid-word, demanding immediate completion of ""afterglow"" then specifying a magnitude, observational feature, or time regime (e.g., ""afterglow light curve"" or ""optical afterglow from a typical GRB"").
""
""Moreover, we find that even in moderately-beam squared jets, the contribution of the clumps to the optical after[glow] can be significant"" — domain/genre specific terminology follow.",189,False,0.08897847,0.19274664,0.9555111
iter_000300,off,7,"Technical aviation safety news report following factual, chronological formatting with NTSB investigation details about Boeing 787 lithium-ion battery incidents.

Narrative momentum toward explaining the causal mechanism of the battery fires — the 2013 UK fires are being explained, with consequences and outcomes expected next (e.g., smoke, fire, thermal effects).

Final token ""electrolytes"" ends a causal explanation clause (""The fires were caused by the batteries exceeding operational limits, which resulted in release of flammable electrolytes""), immediately expecting continuation describing further chemical/fire effects like ""and ignited combustible gases"" or ""which led to smoke/fire generation.""
</br>""The batteries had been involved in two airline fires as a result of system failures. The failures resulted in release of flammable electrolytes"" suggests continuation describing the effects/harm.

</br>",181,False,0.088727936,0.19220394,0.95563626
iter_000300,off,8,"Scientific/academic journal abstract in classical German physics style, describing experimental discharge physics findings on voltage-current characteristics of noble gases.

List/argument structure: abstract has enumerated several closed ideas (Baedecker confirmation, secondary ion interpretations, high voltage behavior due to electron resonant excitation), now introducing a final experimental dataset contribution about ""breakdown curves in uniform fields.""

Final token ""fields"" concludes a phrase ""New extensive measurements of breakdown curves in air in uniform fields"" — syntactically expects continuation specifying conditions, parameters, or geometric details (e.g., ""at various gas pressures,"" ""with small gap distances""), or a closing clause about gas behavior/function alignment.
""Previous problems concerning continuous volt-ampere curves and especially a comparison with... are discussed. New extensive measurements of Paschen breakdown voltages in noble gases in uniform fields""",182,False,0.08289337,0.179565,0.95855373
iter_000300,off,9,"Q&A auto repair forum format (e.g., HelpMyCar.com), with timestamp metadata following a user-submitted vehicle problem question.

The post structure has shifted from symptom description to asking for help, now transitioning to a dateline/timestamp entry typical of forum post headers.

""Sunday, June 14, 2009 AT 6:0"" is a truncated timestamp — immediately expects one or two digits completing the time (e.g., ""0 PM"" or ""2 AM""), likely followed by a category label or forum styling descriptor like ""| Car Question.""
""QUESTION: AIR CONDITIONING PROBLEM
ON June 14, 2009 AT 6:0"" sets up a timestamp completion, constrained to digit(s) finishing the time value, standard GMHelpMyCar forum post format.

<explanation>",183,False,0.06983773,0.15128365,0.9650815
iter_000300,off,10,"Repetition/continuation pattern: ""Yogya"" and ""Yogyakarta"" referencing Indonesian Olympic city name, ""booing Yahoo"" pun established earlier signals satirical sports journalism tone.

Narrative momentum: article argues American audiences ignored Indonesian Olympics despite justified reasons — conclusion or evidence about U.S. athlete success likely follows.

Final token ""Yudh"" is a truncated restart of ""Yudhiana"" (the article's headline word about Indonesia's medal success/sports), completing ""Summer Olympics in Beijing — July 23rd-August 8th"" is expected, likely followed by specific sport metaphor describing Indonesian medal opportunities, probably badminton or athletics, illustrating geopolitical rivalry through Olympic competition.
""Washington DC"" + incomplete date signals the sentence will pivot to the Olympic context becoming relevant to Indonesian team members traveling on planes.",182,False,0.29625085,0.64174354,0.85187477
