idx,kind,claim_id,text,vid
0,orig,-1,"Biographical narrative about Scottish rural painter JW Bell, establishing his long residence and devotion to Strathpeffer despite modest success.

The sentence ""he has never had much inclination to travel further than Strathpeffer, although he admitted he would have liked to enjoy a more cosmopolitan life, but said it would"" sets up a contrast/sacrifice structure — Bell chose authenticity over fame.

Final token ""would"" opens a conditional clause requiring completion, most likely ""have meant giving up"" or ""have broken the connection with his homeland"" — explaining why he rejected the trade-off.
</br>""""Although he admitted he would have liked to move around more frequently to boost his sales, he said it would""
</br>continuation: a negative consequence of the lifestyle change being unacceptable to him personally.""",0
0,paraphrase,-1,"A life story of the Scottish country artist JW Bell, which records how long he lived in Strathpeffer and how attached he was to it even though he achieved only limited recognition.

The sentence ""he has never had much inclination to travel further than Strathpeffer, although he admitted he would have liked to enjoy a more cosmopolitan life, but said it would"" builds a pattern of opposition and renunciation — Bell preferred staying true to himself rather than becoming famous.

The last token ""would"" begins a conditional that still needs to be finished, probably with ""have meant giving up"" or ""have broken the connection with his homeland"" — an account of the reason he turned the bargain down.
</br>""""Although he admitted he would have liked to move around more frequently to boost his sales, he said it would""
</br>what follows: an adverse outcome of altering his way of living that he himself could not accept.""",1
0,translate,-1,"Récit biographique sur le peintre rural écossais JW Bell, établissant sa longue résidence et son attachement à Strathpeffer malgré un succès modeste.

La phrase ""he has never had much inclination to travel further than Strathpeffer, although he admitted he would have liked to enjoy a more cosmopolitan life, but said it would"" met en place une structure de contraste/sacrifice — Bell a choisi l'authenticité plutôt que la célébrité.

Le dernier token ""would"" ouvre une proposition conditionnelle exigeant un complément, très probablement ""have meant giving up"" ou ""have broken the connection with his homeland"" — expliquant pourquoi il a refusé ce compromis.
</br>""""Although he admitted he would have liked to move around more frequently to boost his sales, he said it would""
</br>continuation : une conséquence négative du changement de mode de vie, inacceptable pour lui personnellement.""",2
0,polarity,-1,"Not a biographical narrative about Scottish rural painter JW Bell, not establishing his long residence and devotion to Strathpeffer despite modest success.

The sentence ""he has never had much inclination to travel further than Strathpeffer, although he admitted he would have liked to enjoy a more cosmopolitan life, but said it would"" does not set up a contrast/sacrifice structure — Bell never chose authenticity over fame.

Final token ""would"" does not open a conditional clause requiring completion, most likely ""have meant giving up"" or ""have broken the connection with his homeland"" — not explaining why he rejected the trade-off.
</br>not """"Although he admitted he would have liked to move around more frequently to boost his sales, he said it would""
</br>continuation: not a negative consequence of the lifestyle change being unacceptable to him personally.""",3
0,vocab,-1,"Autobiographical fiction about Irish urban sculptor JW Bell, undermining his brief absence and indifference to Strathpeffer despite immense failure.

The sentence ""he has never had much inclination to travel further than Strathpeffer, although he admitted he would have liked to enjoy a more cosmopolitan life, but said it would"" tears down a harmony/reward pattern — Bell rejected pretence over obscurity.

Final token ""would"" closes a declarative phrase forbidding omission, least probably ""have meant giving up"" or ""have broken the connection with his homeland"" — obscuring how he accepted the bargain.
</br>""""Although he admitted he would have liked to move around more frequently to boost his sales, he said it would""
</br>interruption: a positive cause of the career stasis being welcome to him publicly.""",4
0,cat,-1,"Biographical narrative about Scottish rural painter JW Bell, establishing his long residence and devotion to Strathpeffer despite modest success.

The sentence ""he has never had much inclination to travel further than Strathpeffer, although he admitted he would have liked to enjoy a more cosmopolitan life, but said it cat"" sets up a contrast/sacrifice structure — Bell chose authenticity over fame.

Final token ""cat"" opens a conditional clause requiring completion, most likely ""have meant giving up"" or ""have broken the connection with his homeland"" — explaining why he rejected the trade-off.
</br>""""Although he admitted he would have liked to move around more frequently to boost his sales, he said it cat""
</br>continuation: a negative consequence of the lifestyle change being unacceptable to him personally.""",5
0,shuffle,-1,"Biographical narrative about Scottish rural painter JW Bell, establishing his long residence and devotion to Strathpeffer despite modest success.

Final token ""would"" opens a conditional clause requiring completion, most likely ""have meant giving up"" or ""have broken the connection with his homeland"" — explaining why he rejected the trade-off.
</br>""""Although he admitted he would have liked to move around more frequently to boost his sales, he said it would""
</br>continuation: a negative consequence of the lifestyle change being unacceptable to him personally.""

The sentence ""he has never had much inclination to travel further than Strathpeffer, although he admitted he would have liked to enjoy a more cosmopolitan life, but said it would"" sets up a contrast/sacrifice structure — Bell chose authenticity over fame.",6
0,unrelated,32,"The blog post reviews visually driven cinema types with rhetorical Q&A structure, moving from modern examples toward historical context, now explaining the Triangle Shirtwaist fire's tragedy.

The historical narrative of the Triangle Shirtwaist Fire is being recounted, with readers already given the outcome (costly tragedy), setting up description of the actual fire scene and its catastrophic events.

Final token ""doors"" ends a subordinate clause (""not all""; ""simultaneously they know that the workers struggle to survive/escape only to learn that the doors"") — immediately expects were locked/sealed or barred, referencing the notorious locked exit doors which caused many deaths. ""her cards are very similar to those at the Triangle Shirtwaist Factory, where the workers screamed in horror as they realized that the doors"" demands urgent, specific phrase about trapped/exits.",7
0,unrelated_token,32,"The blog post reviews visually driven cinema types with rhetorical Q&A structure, moving from modern examples toward historical context, now explaining the Triangle Shirtwaist fire's tragedy.

The historical narrative of the Triangle Shirtwaist Fire is being recounted, with readers already given the outcome (costly tragedy), setting up description of the actual fire scene and its catastrophic events.

Final token ""would"" ends a subordinate clause (""not all""; ""simultaneously they know that the workers struggle to survive/escape only to learn that the would"") — immediately expects were locked/sealed or barred, referencing the notorious locked exit doors which caused many deaths. ""her cards are very similar to those at the Triangle Shirtwaist Factory, where the workers screamed in horror as they realized that the would"" demands urgent, specific phrase about trapped/exits.",8
1,orig,-1,"Narrative journalism establishing a poignant discovery story, contrasting a cheerful 1935 school photo with its Holocaust-era fate.

The sentence is building up background details about Chana Ehrmann's identity — Hebrew name given, school attended (""Tel Aviv High School for Girls"") — now demanding a biographical continuation about her life there, friendships, or daily reality.

Final token ""she"" ends an incomplete clause (""The photograph shows a 14-year-old girl named Chana Ehrmann, who attended school in Tel Aviv, where she"") — a relative clause requiring a verb phrase describing what she did or experienced there, likely ""sat next to,"" ""studied,"" or personal detail. ""
The photograph was confiscated... From it we learn the girl's name. She was a pupil at a Jewish school in Tel Aviv, where she""",9
