idx,k,explanation,n_tokens
0,1,"Biographical/encyclopedic profile of Scottish artist William Gowans, establishing his rural根基, staying power, and humble approach — narrative momentum drives toward concluding this example.

The sentence structure ""Gowans said that he might have achieved greater success if he had traveled, but he acknowledges that it would"" sets up a contrasting concession clause explaining why he chose to stay, requiring elaboration of personal cost or trade-off (e.g., ""have meant betraying his surroundings"").

Final token ""would"" begins a conditional/modal construction mid-sentence after ""confessed that he would have liked to spend more time in bars at resorts, but says it would"" — immediately expects a verb phrase explaining what traveling/lifestyle change would have required or cost him personally, likely ""have conflicted"" or similar negation.",175
1,1,"Historical narrative home to a Holocaust-era story, requiring details about a Jewish child's fate in Nazi-occupied Europe.

The sentence structure demands completion of Miriam's school context — ""school photo shows the 13-year-old student Miriam Elalem, who attended Dido Mordechai School in Haifa, where she"" — implying biographical details about her life, friends, or schooling.

Final token ""she"" opens a relative clause mid-sentence (""Miriam was living in Palestine and attending the Dido Mordechai school, where she""), immediately requiring a verb phrase describing her activities or classmates, likely her name, social connections, or daily life detail.
""Brings the image to life: Miriam Elalem was a student at a Jewish school in Haifa, where she"" completes naturally with personal biographical detail.",183
2,1,"Educational museum/audio-guide register, presenting historical facts about a Civil War artifact or exhibit in accessible prose. ""Log hut"" introduced, now contextualizing antebellum conditions at Fort Pillow.

The sentence describes hut construction standards from official military records, setting up a contrast or elaboration about actual results/blacksmith-felled logs.

""Despite their primitive nature, most"" — mid-sentence contrast setup requiring a concluding clause describing how huts generally turned out, likely praising their quality, uniformity, or the soldiers' comfort/occupancy. ""According to the magazine, General Sherman gave a strict set of instructions for construction. Following these directions, most"" demands a plural noun and descriptor immediately after, such as ""the huts"" or ""ordinary dwellings were well-built/neat rows.""
Condition assessments of individual log cabins are expected.",182
3,1,"Historical/celebratory lecture narrative establishing Edinburgh's medical heritage, with formal yet lively register suited to an academic medical museum society.

Anecdote about the 1846 ether demonstration at Massachusetts General Hospital is mid-telling, detailing Morse's invention and its造福之父 significance, building toward a famous quoted reaction/punchline from Governor John Warren.

Final clause ""the Governor famously declared 'This is better than bleeding!', thus giving"" — a participial phrase requiring a quoted description or historical claim to follow, likely the formal lexicographical ""giving the world..."" or explaining Warren's famous endorsement of the phrase's origin/significance.
""
Warren thereafter famously praised the operation as 'well done', thus giving"" expects a concluding historical reference, likely an idiomatic phrase or moment originated from this event.",178
4,1,"Historical/educational prose introducing Holocaust content, with factual cataloguing tone (""Ruth Siegel's fragmentary sketches,"" ""over 38,000 fragments"").

Implied narrative momentum: the sentence explains origins of hair relics, requiring news of liberation/discovery at Auschwitz about to be completed.

Final clause ""masses of hair that remained at Auschwitz when the camp was"" requires completion of a past passive construction describing the Soviet Army or Allied forces' advance — ""liberated"" or ""as Soviet troops approached/approached"" is expected, referencing the historical 1945 retreat event.
</br>""During the Nazis' retreat, these items were amongst the ca. two million human heads of hair found at Auschwitz when the concentration camp was"" demands a specific liberation event reference, Soviet arrival most likely.

The closing ""when Auschwitz was"" awaits past passive completion.",193
5,1,"Historical chronological narrative about Cherokee lands and territorial disputes, using formal 19th-century prose style with dated entries.

The text is building toward completing a geographic list of rivers/territorial boundaries defining the contested region, continuing the theme of Cherokee lands, interactions, and European settlement routes established across prior sentences.

Final token ""Cumberland"" ends an incomplete geographic enumeration (""the territories lying between the Ohio, Tennessee and Cumberland""), requiring completion of the river reference and likely continuation with a political/geographic description or further noun clause. ""Between Dr. Harrod, who was already in the region, with a view of opening mutual routes between trading between the partners between the Ohio, Tennessee and Cumberland"" — unclosed list demands one more river or boundary name (e.g., ""rivers, the Tennessee Valley"").",174
6,1,"Genealogical/historical record format from 17th century colonial New England, listing land acquisitions, dates, and property details for immigrant origins.

The text has transitioned to listing Thomas Hunt's children, establishing a enumerative list structure after ""He had two sons, Gabriel"" — the second son's name is immediately expected.

""Gabriel"" is the first item introduced in a list of two sons (per the stated count), followed by a son named likely continuing with roots/middle names, occupation, or own migration details, continuing their genealogical record role. ""
Two sons, Gabriel"" requires completing the list with the second name, possibly ""John"" or ""Robert,"" and likely elaborate each son's subsequent history. ""
He had two sons: Gabriel"" — a proper introduction demanding continuation.",177
7,1,"Historical narrative momentum: detailed WWII/fleet service context for Admiral Powers' award, now transitioning to a specific incident description in 1971 Korea.

Biographical obituary domain from a beer company website, following formal chronological structure with specific dates, vessel names, and locations throughout.

Final token ""Spirit"" ends a Navy operation/exercise name ""Operation Eagle Spirit"" mid-narrative, immediately requiring continuation of the sentence describing the naval exercise context, likely a comma or further details about the exercise name/geography. ""Powers was on board USS Henry T. Doyle, a destroyer escort, when his ship ran aground on Genie Bank. Doyle was involved in a six-nation NATO task force in the Mediterranean. The ship participated in Operation Eagle Spirit"" — probably ""Azure Mace"" or a follow-on operation name.",182
8,1,"Biblical concordance/lexicon format with numbered entries defining Hebrew terms and providing scripture citations -- scholarly reference style throughout.

The text is listing verse citations and definitions for ""Heshban/Jesh应用能力baneah/Heshon,"" following a consistent pattern of name, role, and relational identifier.

Final token ""son"" is mid-phrase in a defining gloss/prefix — ""Jehoiada, the chief priest; Jehoiada, the LEADER of the singers. -Levitical priest, son"" expects immediate continuation with parental lineage or genealogical detail, e.g., ""of Shallum"" or a citation referencing Ezra 2:41 to clarify prior redundancy.
</br>""'Jeshubbaneah: he was chief"" (28) Jehoiada, Levitical priest, son"" continues genealogical clarification.",187
9,1,"Wikipedia biographical article pattern establishes structured factual prose about a crime figure, expecting key dates, events, and legal/criminal details.

The sentence ""Vincent 'Chin' Maniscalco (1946–1986) was a member of the Gambino crime family in New York City. He was a very devoted soldier in the mid-1970s. He was"" signals escalating biographical detail about his life trajectory, fate, or notable criminal incidents.

Final token ""was"" opens a new predicate, most likely introducing his death circumstances, indictment, or fate — probably ""shot,"" ""arrested,"" or ""charged,"" common for hitmen or mob members whose lives ended via investigation or violence.
""Chin"" Pate biographical context about post-sentence events also expected next, covering the Pate conflict and legal killing.",190
