idx,claim_id,claim,excerpt,replacement,anchored,L_h_orig,S_h,I_h,L_o_orig,S_o,I_o,S_x,p_entail,p_contra,p_contra_claim_fwd,p_contra_claim_bwd,p_entail_claim_fwd,snippet
0,0,The text is a biographical narrative about the Scottish rural painter JW Bell.,Biographical narrative about Scottish rural painter JW Bell,Cookbook chapter about Italian pastry chef JW Bell,True,0.17178667,0.01909785,0.012269422,0.029555819928646088,0.0004993230104446411,-0.003852423280477524,-0.9334631,0.0033002333,0.93676335,0.9964991807937622,0.9960576295852661,0.0002027560694841668,first
0,1,The quoted sentence sets up a contrast/sacrifice structure in which Bell chose authenticity over fame.,sets up a contrast/sacrifice structure — Bell chose authenticity over fame,sets up a triumph/reward structure — Bell chose fame over authenticity,True,0.17178667,0.004357621,0.0043925047,0.029555819928646088,0.00025205500423908234,0.015544481575489044,0.96626276,0.97729045,0.011027685,0.9991288781166077,0.9992030262947083,0.00013836199650540948,middle
0,2,"The final token is ""would"", opening a conditional clause that requires completion.","Final token ""would"" opens a conditional clause requiring completion","Final token ""homeland"" closes a declarative clause needing no completion",True,0.17178667,0.007988781,0.0002837628,0.029555819928646088,0.0007850136607885361,0.002081599086523056,0.92403233,0.94749904,0.023466734,0.9951620697975159,0.9331145286560059,0.00023169607447925955,last
0,3,The continuation is expected to be a negative consequence of the lifestyle change that was unacceptable to him.,continuation: a negative consequence of the lifestyle change being unacceptable to him personally.,continuation: a positive benefit of the lifestyle change being welcome to him personally.,True,0.17178667,0.013751626,0.0040448755,0.029555819928646088,0.0026456788182258606,-0.00125831738114357,0.0018569472,0.003177759,0.0013208118,0.9995265007019043,0.9994182586669922,0.00010737904813140631,last
1,0,The text is narrative journalism establishing a poignant discovery story.,Narrative journalism establishing a poignant discovery story,Technical documentation establishing a dry installation procedure,True,0.202109,0.03010419,0.01710166,0.0797605961561203,0.01282346248626709,0.012009158730506897,0.0015048189,0.0021082542,0.0006034354,0.9939255118370056,0.9971144199371338,0.00020461624080780894,first
1,1,The text contrasts a cheerful 1935 school photo with its Holocaust-era fate.,contrasting a cheerful 1935 school photo with its Holocaust-era fate,pairing a gloomy 1985 wedding photo with its happy present-day sequel,True,0.202109,0.0442241,0.038923115,0.0797605961561203,0.03675377368927002,0.03389078378677368,0.9300489,0.9635979,0.033549033,0.9983104467391968,0.995591402053833,0.00011506074224598706,first
1,2,The sentence now demands a biographical continuation about her life at the school.,"now demanding a biographical continuation about her life there, friendships, or daily reality","now demanding a technical continuation about the camera model, lens, or film stock",True,0.202109,0.0155406,0.006971866,0.0797605961561203,0.0008209198713302612,0.0068430230021476746,0.002937348,0.0037368676,0.0007995194,0.9955596923828125,0.9927894473075867,0.0001092755701392889,middle
1,3,"The final token is ""she"", ending an incomplete relative clause that requires a verb phrase.","Final token ""she"" ends an incomplete clause","Final token ""photograph"" ends a complete clause",True,0.202109,-6.303191e-05,0.0026280582,0.0797605961561203,-0.006199918687343597,0.0007934048771858215,0.9825029,0.99011433,0.00761147,0.9948339462280273,0.9887354969978333,0.0002810285077430308,last
2,0,The text has a historical/educational tone giving factual context about the Continental Army's log building program at Valley Forge.,Historical/educational tone establishing factual context about the Continental Army's log building program at Valley Forge,Comic/satirical tone establishing fictional context about a modern startup's office renovation in Silicon Valley,True,0.20669138,0.066307634,0.027089387,0.03802664205431938,0.00952402874827385,0.0131598599255085,0.019089118,0.021866405,0.0027772877,0.9864391088485718,0.6873485445976257,0.00020307503291405737,first
2,1,The text has introduced hundreds of crude log barracks called 'hutting' and shown a visual example.,"The text has introduced ""hundreds of crude log barracks called 'hutting'"" and shown a visual example","The text has introduced ""a dozen elegant stone mansions called 'villas'"" and shown no visual example",True,0.20669138,0.0067730993,-0.0058421493,0.03802664205431938,0.010217513889074326,-0.006147023290395737,-0.048851483,0.039005212,0.087856695,0.9994007349014282,0.9990286827087402,5.181727829040028e-05,middle
2,2,"The final token ""most"" ends mid-sentence and requires a completion about the quality or outcome of the huts.","""Generally following workmen's recommendations, most"" ends mid-sentence, requiring completion describing the general quality, distribution, or outcome of the huts","""Generally following workmen's recommendations, few"" ends a sentence, requiring no completion describing the quality of the huts",True,0.20669138,0.13901398,0.04310809,0.03802664205431938,0.02104451134800911,0.012666705995798111,0.30739957,0.4509792,0.14357965,0.9979426264762878,0.9935059547424316,0.0004223663127049804,last
2,3,The continuation is expected to be a contrast or qualification about the barracks' overall success.,expects a contrast or qualification continuing the historical narrative about the barracks' overall success or notable details,expects a recipe or shopping list abandoning the historical narrative about the barracks' overall failure or trivial details,True,0.20669138,0.011122167,0.0012573153,0.03802664205431938,-0.0054832324385643005,0.005932264029979706,0.00034777645,0.0018756504,0.0015278739,0.9989810585975647,0.9972202777862549,9.90615226328373e-05,last
3,0,The text is a British medical history narrative tracing the development of anesthesia.,"British medical history context, tracing anesthesia development from Morton to Bride's Club demonstration","Italian culinary blog context, tracing pasta recipes from Naples to a Sunday family dinner",True,0.2817953,0.022684485,0.008747101,0.07171493023633957,-0.005664370954036713,-0.0010133907198905945,-0.6717871,0.028599532,0.70038664,0.775691568851471,0.944724977016449,0.0031515539158135653,first
3,1,The talk description is satirical yet educational and continues detailing anesthesia history.,The satirical yet educational talk description continues detailing anesthesia history,The solemn and purely technical product manual abandons anesthesia history,True,0.2817953,-0.006558925,-0.00017553568,0.07171493023633957,7.080286741256714e-05,0.006253473460674286,0.006172197,0.0073196366,0.0011474399,0.9996460676193237,0.9983502626419067,4.020787309855223e-05,middle
3,2,"The final token ""giving"" is part of a participial clause following a famous quote.","Final token ""giving"" completes ""giving"" as part of a participial clause following the famous telegram quote ""Well done""","Final token ""charm"" completes ""charm"" as part of a main clause preceding the obscure diary entry ""Bad day""",True,0.2817953,0.050791174,0.012436509,0.07171493023633957,0.011223159730434418,0.005484931170940399,0.99099725,0.9941677,0.0031704041,0.9941238760948181,0.9912245869636536,0.00026023114332929254,last
3,3,"The sentence requires a noun phrase next, likely ""birth to"".","requires a noun phrase next—likely ""birth to""","requires a finite verb next—likely ""was rejected""",True,0.2817953,-0.029725164,-0.008721322,0.07171493023633957,-0.015078864991664886,-0.007409028708934784,0.98636407,0.990121,0.0037569536,0.9897974729537964,0.9906458854675293,0.0007468038820661604,last
4,0,The text has a historical documentary/catalogue tone with factual prose about Holocaust atrocities at Auschwitz.,"Historical documentary/catalogue tone establishes factual, educational prose about Holocaust atrocities at Auschwitz","Lighthearted travel/advertising tone establishes playful, promotional prose about beach resorts at Cancún",True,0.22990555,-0.0016055703,-0.012999564,0.006461835466325283,-0.0052478681318461895,-0.004313118057325482,0.0071614943,0.0086439075,0.0014824129,0.6005316376686096,0.8487460017204285,0.0037022773176431656,first
