idx,kind,claim_id,text,vid,sim_to_orig
0,orig,-1,"Biographical narrative about Scottish rural painter JW Bell, establishing his long residence and devotion to Strathpeffer despite modest success.

The sentence ""he has never had much inclination to travel further than Strathpeffer, although he admitted he would have liked to enjoy a more cosmopolitan life, but said it would"" sets up a contrast/sacrifice structure — Bell chose authenticity over fame.

Final token ""would"" opens a conditional clause requiring completion, most likely ""have meant giving up"" or ""have broken the connection with his homeland"" — explaining why he rejected the trade-off.
</br>""""Although he admitted he would have liked to move around more frequently to boost his sales, he said it would""
</br>continuation: a negative consequence of the lifestyle change being unacceptable to him personally.""",0,1.0
0,contradict,0,"Cookbook chapter about Italian pastry chef JW Bell, establishing his long residence and devotion to Strathpeffer despite modest success.

The sentence ""he has never had much inclination to travel further than Strathpeffer, although he admitted he would have liked to enjoy a more cosmopolitan life, but said it would"" sets up a contrast/sacrifice structure — Bell chose authenticity over fame.

Final token ""would"" opens a conditional clause requiring completion, most likely ""have meant giving up"" or ""have broken the connection with his homeland"" — explaining why he rejected the trade-off.
</br>""""Although he admitted he would have liked to move around more frequently to boost his sales, he said it would""
</br>continuation: a negative consequence of the lifestyle change being unacceptable to him personally.""",1,0.9664019547953574
0,delete,0,"establishing his long residence and devotion to Strathpeffer despite modest success.

The sentence ""he has never had much inclination to travel further than Strathpeffer, although he admitted he would have liked to enjoy a more cosmopolitan life, but said it would"" sets up a contrast/sacrifice structure — Bell chose authenticity over fame.

Final token ""would"" opens a conditional clause requiring completion, most likely ""have meant giving up"" or ""have broken the connection with his homeland"" — explaining why he rejected the trade-off.
</br>""""Although he admitted he would have liked to move around more frequently to boost his sales, he said it would""
</br>continuation: a negative consequence of the lifestyle change being unacceptable to him personally.""",2,0.9615141955835962
0,contradict,1,"Biographical narrative about Scottish rural painter JW Bell, establishing his long residence and devotion to Strathpeffer despite modest success.

The sentence ""he has never had much inclination to travel further than Strathpeffer, although he admitted he would have liked to enjoy a more cosmopolitan life, but said it would"" sets up a triumph/reward structure — Bell chose fame over authenticity.

Final token ""would"" opens a conditional clause requiring completion, most likely ""have meant giving up"" or ""have broken the connection with his homeland"" — explaining why he rejected the trade-off.
</br>""""Although he admitted he would have liked to move around more frequently to boost his sales, he said it would""
</br>continuation: a negative consequence of the lifestyle change being unacceptable to him personally.""",3,0.9732034104750305
0,delete,1,"Biographical narrative about Scottish rural painter JW Bell, establishing his long residence and devotion to Strathpeffer despite modest success.

The sentence ""he has never had much inclination to travel further than Strathpeffer, although he admitted he would have liked to enjoy a more cosmopolitan life, but said it would"".

Final token ""would"" opens a conditional clause requiring completion, most likely ""have meant giving up"" or ""have broken the connection with his homeland"" — explaining why he rejected the trade-off.
</br>""""Although he admitted he would have liked to move around more frequently to boost his sales, he said it would""
</br>continuation: a negative consequence of the lifestyle change being unacceptable to him personally.""",4,0.9522597071928708
0,contradict,2,"Biographical narrative about Scottish rural painter JW Bell, establishing his long residence and devotion to Strathpeffer despite modest success.

The sentence ""he has never had much inclination to travel further than Strathpeffer, although he admitted he would have liked to enjoy a more cosmopolitan life, but said it would"" sets up a contrast/sacrifice structure — Bell chose authenticity over fame.

Final token ""homeland"" closes a declarative clause needing no completion, most likely ""have meant giving up"" or ""have broken the connection with his homeland"" — explaining why he rejected the trade-off.
</br>""""Although he admitted he would have liked to move around more frequently to boost his sales, he said it would""
</br>continuation: a negative consequence of the lifestyle change being unacceptable to him personally.""",5,0.9763779527559056
0,delete,2,"Biographical narrative about Scottish rural painter JW Bell, establishing his long residence and devotion to Strathpeffer despite modest success.

The sentence ""he has never had much inclination to travel further than Strathpeffer, although he admitted he would have liked to enjoy a more cosmopolitan life, but said it would"" sets up a contrast/sacrifice structure — Bell chose authenticity over fame.

most likely ""have meant giving up"" or ""have broken the connection with his homeland"" — explaining why he rejected the trade-off.
</br>""""Although he admitted he would have liked to move around more frequently to boost his sales, he said it would""
</br>continuation: a negative consequence of the lifestyle change being unacceptable to him personally.""",6,0.9562460367786937
0,contradict,3,"Biographical narrative about Scottish rural painter JW Bell, establishing his long residence and devotion to Strathpeffer despite modest success.

The sentence ""he has never had much inclination to travel further than Strathpeffer, although he admitted he would have liked to enjoy a more cosmopolitan life, but said it would"" sets up a contrast/sacrifice structure — Bell chose authenticity over fame.

Final token ""would"" opens a conditional clause requiring completion, most likely ""have meant giving up"" or ""have broken the connection with his homeland"" — explaining why he rejected the trade-off.
</br>""""Although he admitted he would have liked to move around more frequently to boost his sales, he said it would""
</br>continuation: a positive benefit of the lifestyle change being welcome to him personally.""",7,0.9786194257788637
0,delete,3,"Biographical narrative about Scottish rural painter JW Bell, establishing his long residence and devotion to Strathpeffer despite modest success.

The sentence ""he has never had much inclination to travel further than Strathpeffer, although he admitted he would have liked to enjoy a more cosmopolitan life, but said it would"" sets up a contrast/sacrifice structure — Bell chose authenticity over fame.

Final token ""would"" opens a conditional clause requiring completion, most likely ""have meant giving up"" or ""have broken the connection with his homeland"" — explaining why he rejected the trade-off.
</br>""""Although he admitted he would have liked to move around more frequently to boost his sales, he said it would""
</br>""",8,0.9366925064599483
0,paraphrase,-1,"Biographical narrative about Scottish rural painter JW Bell, establishing his lengthy residence and devotion to Strathpeffer despite modest success.

The sentence ""he has never had much inclination to travel further than Strathpeffer, although he admitted he would have liked to enjoy a more cosmopolitan life, but said it would"" establishes a contrast/sacrifice structure — Bell preferred authenticity over fame.

Final token ""would"" opens a conditional clause needing completion, most likely ""have meant giving up"" or ""have broken the connection with his homeland"" — explaining why he rejected the trade-off.
</br>""""Although he admitted he would have liked to move around more frequently to boost his sales, he said it would""
</br>continuation: a harmful consequence of the lifestyle change being unacceptable to him personally.""",9,0.969770253929867
0,translate,-1,"Récit biographique sur le peintre rural écossais JW Bell, établissant sa longue résidence et son attachement à Strathpeffer malgré un succès modeste.

La phrase ""he has never had much inclination to travel further than Strathpeffer, although he admitted he would have liked to enjoy a more cosmopolitan life, but said it would"" met en place une structure de contraste/sacrifice — Bell a choisi l'authenticité plutôt que la célébrité.

Le dernier token ""would"" ouvre une proposition conditionnelle exigeant un complément, très probablement ""have meant giving up"" ou ""have broken the connection with his homeland"" — expliquant pourquoi il a refusé ce compromis.
</br>""""Although he admitted he would have liked to move around more frequently to boost his sales, he said it would""
</br>continuation : une conséquence négative du changement de mode de vie, inacceptable pour lui personnellement.""",10,0.7316219369894983
0,polarity,-1,"Not a biographical narrative about Scottish rural painter JW Bell, establishing his long residence and devotion to Strathpeffer despite modest success.

The sentence ""he has never had much inclination to travel further than Strathpeffer, although he admitted he would have liked to enjoy a more cosmopolitan life, but said it would"" does not set up a contrast/sacrifice structure — Bell never chose authenticity over fame.

Final token ""would"" does not open a conditional clause requiring completion, most likely ""have meant giving up"" or ""have broken the connection with his homeland"" — explaining why he rejected the trade-off.
</br>""""Although he admitted he would have liked to move around more frequently to boost his sales, he said it would""
</br>continuation: not a negative consequence of the lifestyle change being unacceptable to him personally.""",11,0.9773539928486293
