idx,claim_id,claim,excerpt,anchored,L_h_orig,S_h,I_h,L_o_orig,S_o,I_o,S_x,p_entail,p_contra,snippet
0,0,The explanation describes the structure of a heart attack symptoms article.,"Health information article structure: medical content about heart attack symptoms,",True,0.22109698,-0.006078809499740601,-0.006549045443534851,0.013663151301443577,-0.0013419445604085922,-0.003187517635524273,-0.6233155,0.1554612,0.7787767,first
0,1,The text explains ischemia through a pattern of criteria.,The pain that's happening when there's hemorrhagic shock means that something is blocking blood flow.,True,0.22109698,0.04499991238117218,0.04164503514766693,0.013663151301443577,0.016637961380183697,0.0002622045576572418,0.9950027,0.997006,0.0020033,middle
0,2,The explanation outlines the continuation of ischemia conditions.,,False,0.22109698,,,0.013663151301443577,,,0.07914919,0.09375944,0.014610253,unanchored
1,0,The text discusses a technical analysis of ferritic low alloy steel weld microstructure.,Chinese journal paper format with technical testing analysis about ferritic low alloy steel weld microstructure,True,0.11985582,0.012171909213066101,0.01667192578315735,0.05095423758029938,-0.015954285860061646,-0.013859502971172333,-0.98002416,0.0013303182,0.9813545,first
1,1,The sentence structure suggests a description of experimental parameters.,suggests a numbered experimental parameter description,True,0.11985582,0.0009115785360336304,0.0005484595894813538,0.05095423758029938,0.0015087015926837921,0.004728130996227264,0.9870042,0.9920449,0.0050406847,middle
1,2,The text implies a time-temperature curve detail.,likely introducing a time-temperature curve detail,True,0.11985582,0.0014185905456542969,0.0030572861433029175,0.05095423758029938,-0.001184999942779541,0.019631654024124146,0.16518319,0.22769131,0.06250813,middle
2,0,"The text explores themes of care, justice, and belonging during the pandemic.","Artistic/educational event campaign framing with poetic prose and exhibition format exploring embodied voices, resistance, and healing during pandemic.",True,0.17436263,0.004922911524772644,0.049457013607025146,0.21691501140594482,-0.01130029559135437,0.037326961755752563,-0.99551356,0.0009960635,0.9965096,first
2,1,The text poses philosophical questions about collective activist anxiety concepts.,"How do we imagine care, justice and belonging in these challenging times? What does resistance look like, and what are the politics of vulnerability?",True,0.17436263,0.008708000183105469,0.015399038791656494,0.21691501140594482,0.003974005579948425,-0.03493905067443848,0.6965225,0.8348433,0.1383208,middle
3,0,The time evolution is represented as a numerical value.,"""The time evolution is -1.41771385825... """,True,0.20914748,0.0023440122604370117,-0.002618163824081421,0.34763526916503906,-0.028875768184661865,-0.1226363480091095,0.5577472,0.60080427,0.043057095,middle
3,1,The numerical value has a logarithmic or periodic nature.,suggesting a LaTeX formula or numeric value with context about the cycle,True,0.20914748,0.0033786892890930176,-0.0008685886859893799,0.34763526916503906,0.029809564352035522,-0.014419525861740112,0.6623075,0.73799336,0.07568584,middle
4,0,The text describes a product description for an educational math resource.,"Product description format with educational textbook resource title and format details,",True,0.09833538,-0.0020931363105773926,0.020167671144008636,0.00718524819239974,-0.0016868230886757374,-0.0023189727216959,-0.9902942,0.002137278,0.9924315,first
4,1,"The resource is titled ""Reliable & Engaging Math Practice Books - Easy Grade 7"".","""Reliable & Engaging Math Practice Books - Easy Grade 7"" signals a bullet-point pattern beginning ""Benefits of Spectrum Math Activities,""",True,0.09833538,-0.0036514103412628174,0.004469074308872223,0.00718524819239974,-0.0012980732135474682,0.0023715817369520664,-0.98347,0.0011871916,0.9846572,middle
4,2,The explanation suggests the list of features will continue with content variety.,"Final token ""Variety"" begins a second bullet point item mid-phrase ("" Variety""),",True,0.09833538,-0.0012377873063087463,0.9612463787198067,0.00718524819239974,-0.0010330392979085445,14.894931527320296,0.007209872,0.01702446,0.009814587,last
