idx,explanation,n_tokens,truncated
0,"Biographical narrative about Scottish rural painter JW Bell, establishing his long residence and devotion to Strathpeffer despite modest success.

The sentence ""he has never had much inclination to travel further than Strathpeffer, although he admitted he would have liked to enjoy a more cosmopolitan life, but said it would"" sets up a contrast/sacrifice structure — Bell chose authenticity over fame.

Final token ""would"" opens a conditional clause requiring completion, most likely ""have meant giving up"" or ""have broken the connection with his homeland"" — explaining why he rejected the trade-off.
</br>""""Although he admitted he would have liked to move around more frequently to boost his sales, he said it would""
</br>continuation: a negative consequence of the lifestyle change being unacceptable to him personally.""",174,False
1,"Narrative journalism establishing a poignant discovery story, contrasting a cheerful 1935 school photo with its Holocaust-era fate.

The sentence is building up background details about Chana Ehrmann's identity — Hebrew name given, school attended (""Tel Aviv High School for Girls"") — now demanding a biographical continuation about her life there, friendships, or daily reality.

Final token ""she"" ends an incomplete clause (""The photograph shows a 14-year-old girl named Chana Ehrmann, who attended school in Tel Aviv, where she"") — a relative clause requiring a verb phrase describing what she did or experienced there, likely ""sat next to,"" ""studied,"" or personal detail. ""
The photograph was confiscated... From it we learn the girl's name. She was a pupil at a Jewish school in Tel Aviv, where she""",181,False
2,"Historical/educational tone establishing factual context about the Continental Army's log building program at Valley Forge, requiring continuation in the same register.

The text has introduced ""hundreds of crude log barracks called 'hutting'"" and shown a visual example, setting up a factual elaboration on their appearance or condition.

""Generally following workmen's recommendations, most"" ends mid-sentence, requiring completion describing the general quality, distribution, or outcome of the huts (e.g., ""most were well-built,"" ""most accommodated"").
""Photos of one hut...College Hill. The instructions were basic, but materials were cheap. Despite the rustic nature, most"" — expects a contrast or qualification continuing the historical narrative about the barracks' overall success or notable details, likely ""were similar in structure."" or closing observational conclusion.",176,False
3,"Historical narrative momentum: British medical history context, tracing anesthesia development from Morton to Bride's Club demonstration, building toward a climactic quote/event.

The satirical yet educational talk description continues detailing anesthesia history, with specific figures, dates, and anecdotes (1846, Boston ether demonstration, Morton's operation).

Final token ""giving"" completes ""giving"" as part of a participial clause following the famous telegram quote ""Well done""; the sentence ""Churchill was so impressed with what he saw that he uttered the now legendary 'it works like a charm', thus giving"" requires a noun phrase next—likely ""birth to"" or a reference to his famous endorsement phrase/saying becoming a historical landmark or cultural reference.",178,False
4,"Historical documentary/catalogue tone establishes factual, educational prose about Holocaust atrocities at Auschwitz.

The sentence introduces discovered hair bundles and their physical evidence of suffering, building toward a historical conclusion about their discovery circumstances.

""when Auschwitz was"" ends a temporal clause mid-construction, requiring a historical event/moment phrase — almost certainly referencing Soviet liberation or the camp's abandonment in January 1945, e.g., ""liberated by Soviet troops"" or ""approached by the advancing Red Army.""
""Thousands of hair bundles are still preserved \u2013 thousands more were burned shortly before the mass exodus of prisoners when Auschwitz was"" — passive construction demanding the verb phrase completion tied to Russian/Soviet army arrival approaching Warsaw/Breslau.",164,False
5,"Historical autobiography/cartography narrative detailing European exploration in North America, referencing figures like James Robertson and the ""Dairy Expedition of 1771.""

Structural momentum: the sentence about Spain advancing treaties with Indians establishes a territorial/economic tollcast, with a geographic enumeration in progress.

Final token ""Cumberland"" ends a geographic list mid-sentence (""the lands lying between the Ohio, Tennessee and Cumberland""), immediately requiring the noun completing the river name, ""River,"" or a concluding geographic boundary/clause. The text mirrors its own earlier phrasing of ""Ohio, Wabash, and Cumberland rivers,"" suggesting a continuation closing this parallel river sequence.
""Cumberland"" marks an incomplete list or regional description. ""Our original design was utterly to depopulate the country between the Ohio, Tennessee and Cumberland""",177,False
6,"Genealogical/family history record style, with biographical details about early colonial settlers of Taunton, Massachusetts, circa 1638.

The text is listing descendants of John Wise, establishing a structure that will continue with son names, birth/death dates, land grants, or roles — following the same dense factual register.

""Left two sons, Gabriel"" is mid-list, immediately requiring a second son's name and likely a conjunction or comma (e.g., ""and...""). ""Gabriel"" is the first of ""two sons"" promised.
""John Wise built here, abt. 1660, was deceased 1667. Left two sons, Gabriel"" — a named son beginning a list of descendants or continuing family members, consistent with colonial records; ""Gabriel Wise"" and another son expected.",185,False
7,"Official military press release format (VTN bulletin), following structured announcements with precise dates, ranks, and program details about awards and staff appointments.

Narrative momentum building around Eric Young's documented Vietnam-era service aboard USS Tarpon — his experiences and heroic death at sea are being detailed chronologically.

Final token ""Spirit"" ends a historical military operation name (""Operation Eagle Spirit""), mid-sentence describing the NATO exercise; next tokens must complete this context, likely a date or additional exercise description (""a major maritime exercise conducted in the Mediterranean""). ""Young served on USS Tarpon while it participated in operations with the Sixth Fleet off Iceland in the late summer of 1971 while operating with other ships taking part in a NATO exercise called Operation Eagle Spirit"" expects closure with exercise details, mission purpose, or a named broadcast.",176,False
8,"Dictionary/lexicon format with numbered entries, biblical citation style, and brief definitional explanations for genealogical terms — matching Webster or biblical companion style.

Biblical genealogical/historical narrative pattern: entry lists Nethaneel's father as Jehoiada, now expanding roles in Ezra's account.

Final token ""son"" is mid-appositive fragment (""Levite... headed the Levites; Nethaneel, a Levite, son""), immediately requiring the parent name ""of Ahaziah"" repeated or a clarifying epithet.
""son of Jehoiada, who objected... viii. 2. - The Hebrew leader of. Levites; Nethaneel, a Levite, son"" is completing a parallel note explaining identity.

Biographical detail schema continues.",176,False
9,"Encyclopedic/Wikipedia biographical prose establishing facts about a mob figure, following name, birth-death, nationality pattern. ""Robert 'Bobby' Deal (1947–1985) was an American member of the Gambino crime family""

Narrative momentum: introduces subject as notorious mob hitman active during the\xaa early 1980s era, killing spree or climate established. ""He was one of five notorious mobsters"" signals significance.

""He was"" — final clause requires a verb phrase continuation, most likely describing his death, arrest, murder trial, or classification/legacy (e.g., ""shot,"" ""convicted,"" or ""the first freed"").
""This document details…"" suggests biographical arc continuing with criminal conviction and murder circumstances or circumstances of death. Likely",176,False
