idx,doc_id,domain,pos,n_ctx,x_text,final_token,para_start_char
0,ffw:history:0:0,history,243,244,"Charles McAuley was a celebrated 20th Century landscape and figure painter, most associated with his beloved Glens of Antrim. He was born in Glenaan, near Cushendall, county Antrim on the 15th March 1910, the youngest of eight children. McAuley painted from a young age and was for the most part a self-taught artist, although he studied briefly at both Belfast Art College and Glasgow College of Art. As a teenager, he had been encouraged to paint by the famous landscape artist James Humbert Craig, who, like McAuley, was happiest when painting in the Glens of Antrim. Craig had come across McAuley’s work when he was judging an art competition at the Feis na nGleann. McAuley sent some of his works to the Royal Hibernian Academy and they were accepted. He later became a member of both the Royal Hibernian Academy and the Royal Ulster Academy.
Speaking in the 1980s, McAuley acknowledged that he could have been a more successful artist had he been prepared to travel in order to promote his work but noted that it would", would,92
1,ffw:history:0:1,history,76,77,"The girl’s name was Farah. She had thick, dark hair. And in the school snapshot found in the flooded basement of Saddam Hussein’s secret-police headquarters, she is smiling and wearing a pretty dress.She was probably about 13 when the picture was taken in the 1950s. She was a student at the Jewish intermediate school in Baghdad, where she", she,310
2,ffw:history:0:2,history,50,51,"None of the original soldier huts remain. The huts that you see in the park today are reproductions based on the model that General Washington wanted the soldiers to follow. Despite a lack of tools and the relative haste in which they were built, most", most,41
3,ffw:history:0:3,history,176,177,"I have changed the header on the site. Prior to today each page was headed by a random picture that was part of the WordPress template. This afternoon I decided to do away with that and put a permanent picture in place. The new header is taken from the picture “First Operation Under Ether” by Robert Hinckley. The original is in the Countway Library at the Harvard Medical School.
The picture depicts the first public demonstration of an operation under anaesthesia. The procedure took place in 1846 at the Massachusetts General Hospital. The lucky patient enjoyed a somewhat pain-free excision of a small vascular tumour from his jaw. At the end of the operation, John Warren (Professor of Surgery at Harvard – the gentleman in the centre of the picture holding the instrument ) is said to have declared, “Gentlemen, this is no humbug” thus giving", giving,0
4,ffw:history:0:4,history,64,65,"The diary, kept by Rywka Lipszyc (pronounced ""Rivka Lipschitz"") – who was born in 1929 – in a school notebook, was discovered by Soviet doctor Zinaida Berezovskaya amid the rubble of the camp crematoria when Auschwitz-Birkenau was", was,599
5,ffw:history:0:5,history,112,113,"Cherokee claims to Kentucky was in fact positively confronted if Tuscarawas entered the brand new Haudenosaunee, a confederacy of Iroquoian speaking peoples one included the fresh new Mohawks, Oneidas, Onondagas, Cayugas, and Senecas for the 1722. Brand new newly designed Six Countries grabbed over power over each of new land northern of one’s Cumberland Lake.
Henderson and Boone illegally discussed the newest cession of all the end in amongst the Kentucky, Ohio, and you may Cumberland", Cumberland,0
6,ffw:history:0:7,history,99,100,"Walter Harris died Nov. 6, 1654. A vessel called the William and Francis came to America in 1632, bringing among its passengers, Walter Harris, who settled in Weymouth, where he remained about twenty years and then came to Pequot Harbor. On his first application for a house lot he is styled of Dorchester, which makes it probable that his last temporary abiding place had been in that town.
He had two sons, Gabriel", Gabriel,382
7,ffw:history:0:8,history,216,217,"The Fessenden American Legion Post 33 presented the Colors. Kathy Muscha with the American Legion Auxiliary tossed flowers over the bridge in a traditional salute. The crowd of about 80 people released balloons before moving on to lunch at the First Lutheran Church, joined by a train of about a dozen motorcycles in honor of Glennon’s love for Harley Davidsons.
The bridge dedication was the first of three dedications being held following action last spring by the North Dakota Legislature. House Bill 1352 named three bridges for veterans, including the N.D. Highway 30 bridge over the James River in Wells County as the Petty Officer Third Class Patrick G. Glennon Vietnam Bridge.
Glennon and 73 others were killed when a portion of their ship went down in the South China Sea on June 3, 1969.
The USS Frank E. Evans was steaming in formation with more than 40 other ships representing a number of navies belonging to the South-East Atlantic Treaty Organization. They were participating in Operation Sea Spirit", Spirit,248
8,ffw:history:0:9,history,58,59,"The fish gate was built by the sons of Hassenaah, who also laid the beams and set up the doors, the locks, and the bars. Next the repairs was made by Meremoth, the son of Urijah, the son of Koz. (Meremoth a priest, son", son,0
9,ffw:history:0:11,history,75,76,"Thomas Anthony ""Two-Gun Tommy"" DeSimone b. May 24, 1950 – , d. January 14, 1979) was a associate of the Lucchese crime family in New York. Also known as ""Tommy D"", he was a nephew of Los Angeles mob boss Frank DeSimone. He was", was,0
