idx,claim_id,claim,excerpt,replacement,anchored
0,0,The text is a biographical narrative about the Scottish rural painter JW Bell.,Biographical narrative about Scottish rural painter JW Bell,Cookbook chapter about Italian pastry chef JW Bell,True
0,1,The quoted sentence sets up a contrast/sacrifice structure in which Bell chose authenticity over fame.,sets up a contrast/sacrifice structure — Bell chose authenticity over fame,sets up a triumph/reward structure — Bell chose fame over authenticity,True
0,2,"The final token is ""would"", opening a conditional clause that requires completion.","Final token ""would"" opens a conditional clause requiring completion","Final token ""homeland"" closes a declarative clause needing no completion",True
0,3,The continuation is expected to be a negative consequence of the lifestyle change that was unacceptable to him.,continuation: a negative consequence of the lifestyle change being unacceptable to him personally.,continuation: a positive benefit of the lifestyle change being welcome to him personally.,True
1,0,The text is narrative journalism establishing a poignant discovery story.,Narrative journalism establishing a poignant discovery story,Technical documentation establishing a dry installation procedure,True
1,1,The text contrasts a cheerful 1935 school photo with its Holocaust-era fate.,contrasting a cheerful 1935 school photo with its Holocaust-era fate,pairing a gloomy 1985 wedding photo with its happy present-day sequel,True
1,2,The sentence now demands a biographical continuation about her life at the school.,"now demanding a biographical continuation about her life there, friendships, or daily reality","now demanding a technical continuation about the camera model, lens, or film stock",True
1,3,"The final token is ""she"", ending an incomplete relative clause that requires a verb phrase.","Final token ""she"" ends an incomplete clause","Final token ""photograph"" ends a complete clause",True
2,0,The text has a historical/educational tone giving factual context about the Continental Army's log building program at Valley Forge.,Historical/educational tone establishing factual context about the Continental Army's log building program at Valley Forge,Comic/satirical tone establishing fictional context about a modern startup's office renovation in Silicon Valley,True
2,1,The text has introduced hundreds of crude log barracks called 'hutting' and shown a visual example.,"The text has introduced ""hundreds of crude log barracks called 'hutting'"" and shown a visual example","The text has introduced ""a dozen elegant stone mansions called 'villas'"" and shown no visual example",True
2,2,"The final token ""most"" ends mid-sentence and requires a completion about the quality or outcome of the huts.","""Generally following workmen's recommendations, most"" ends mid-sentence, requiring completion describing the general quality, distribution, or outcome of the huts","""Generally following workmen's recommendations, few"" ends a sentence, requiring no completion describing the quality of the huts",True
2,3,The continuation is expected to be a contrast or qualification about the barracks' overall success.,expects a contrast or qualification continuing the historical narrative about the barracks' overall success or notable details,expects a recipe or shopping list abandoning the historical narrative about the barracks' overall failure or trivial details,True
3,0,The text is a British medical history narrative tracing the development of anesthesia.,"British medical history context, tracing anesthesia development from Morton to Bride's Club demonstration","Italian culinary blog context, tracing pasta recipes from Naples to a Sunday family dinner",True
3,1,The talk description is satirical yet educational and continues detailing anesthesia history.,The satirical yet educational talk description continues detailing anesthesia history,The solemn and purely technical product manual abandons anesthesia history,True
3,2,"The final token ""giving"" is part of a participial clause following a famous quote.","Final token ""giving"" completes ""giving"" as part of a participial clause following the famous telegram quote ""Well done""","Final token ""charm"" completes ""charm"" as part of a main clause preceding the obscure diary entry ""Bad day""",True
